Region_Name;District_Name;PopulationSegment;Population;ZBox_Count
Jihomoravský kraj;Blansko;Medium;32375;9
Moravskoslezský kraj;Bruntál;Medium;37960;8
Kraj Vysočina;Pelhřimov;Medium;27867;4
Pardubický kraj;Svitavy;Medium;26601;4
Moravskoslezský kraj;Opava;Medium;13421;5
Ústecký kraj;Teplice;Medium;27359;7
Liberecký kraj;Semily;Medium;14502;3
Jihočeský kraj;Český Krumlov;Medium;12944;5
Plzeňský kraj;Rokycany;Medium;14386;3
Jihomoravský kraj;Brno-venkov;Medium;11400;2
Jihočeský kraj;Prachatice;Medium;11250;3
Plzeňský kraj;Domažlice;Medium;11155;1
Olomoucký kraj;Jeseník;Medium;10619;4
Středočeský kraj;Praha-západ;Medium;10483;1
Pardubický kraj;Pardubice;Medium;10137;2
Hlavní město Praha;Praha;Very large;1384732;189
Středočeský kraj;Kladno;Large;69078;16
Jihomoravský kraj;Brno-město;Very large;400566;78
Plzeňský kraj;Plzeň-město;Very large;185599;31
Moravskoslezský kraj;Ostrava-město;Very large;284765;55
Liberecký kraj;Liberec;Very large;107982;31
Olomoucký kraj;Olomouc;Very large;102293;29
Jihočeský kraj;České Budějovice;Large;97377;17
Královéhradecký kraj;Hradec Králové;Large;93906;24
Pardubický kraj;Pardubice;Large;92362;18
Ústecký kraj;Ústí nad Labem;Large;91342;18
Zlínský kraj;Zlín;Large;74255;20
Ústecký kraj;Most;Large;63882;18
Moravskoslezský kraj;Karviná;Large;69694;16
Moravskoslezský kraj;Opava;Large;55600;5
Kraj Vysočina;Jihlava;Large;53986;8
Moravskoslezský kraj;Frýdek-Místek;Large;53938;12
Ústecký kraj;Teplice;Large;50959;9
